Latitude,Longitude,ZCategory
47.60332364,-122.3152908,COMMERCIAL
47.60333629,-122.3158279,COMMERCIAL
47.60333514,-122.3156449,COMMERCIAL
47.61534104,-122.3484593,COMMERCIAL
47.55777441,-122.3878868,SINGLE FAMILY / DUPLEX
47.69021116,-122.3554892,COMMERCIAL
47.7059967,-122.2837814,SINGLE FAMILY / DUPLEX
47.66885799,-122.3155153,SINGLE FAMILY / DUPLEX
47.57285375,-122.3076111,SINGLE FAMILY / DUPLEX
47.5586768,-122.4005541,
47.60198365,-122.3317546,COMMERCIAL
47.57755134,-122.41293,SINGLE FAMILY / DUPLEX
47.51948771,-122.2703794,MULTIFAMILY
47.56112845,-122.3425608,INDUSTRIAL
47.67622622,-122.367839,SINGLE FAMILY / DUPLEX
47.63283659,-122.3565961,COMMERCIAL
47.52120225,-122.3537444,SINGLE FAMILY / DUPLEX
47.68020961,-122.3744024,SINGLE FAMILY / DUPLEX
47.63735564,-122.3238062,MULTIFAMILY
47.57703926,-122.3731498,SINGLE FAMILY / DUPLEX
47.60777497,-122.3232575,COMMERCIAL
47.70803431,-122.2802603,SINGLE FAMILY / DUPLEX
47.62334513,-122.3362073,COMMERCIAL
47.66594327,-122.3387567,SINGLE FAMILY / DUPLEX
47.6061431,-122.3367534,COMMERCIAL
47.53466942,-122.3779689,SINGLE FAMILY / DUPLEX
47.57319238,-122.4097822,SINGLE FAMILY / DUPLEX
47.69147929,-122.2973824,SINGLE FAMILY / DUPLEX
47.72104531,-122.3445882,COMMERCIAL
47.615825,-122.3562632,COMMERCIAL
47.63745609,-122.3162885,SINGLE FAMILY / DUPLEX
47.54519994,-122.3055674,SINGLE FAMILY / DUPLEX
47.52136692,-122.3594714,COMMERCIAL
47.58982846,-122.2907093,SINGLE FAMILY / DUPLEX
47.69620336,-122.3570108,SINGLE FAMILY / DUPLEX
47.6549882,-122.3276543,SINGLE FAMILY / DUPLEX
47.52628702,-122.3213554,MULTIFAMILY
47.63961706,-122.328636,MULTIFAMILY
47.58018847,-122.316314,
47.55235216,-122.3905795,SINGLE FAMILY / DUPLEX
47.66827656,-122.399758,SINGLE FAMILY / DUPLEX
47.68070212,-122.3691063,SINGLE FAMILY / DUPLEX
47.57654581,-122.2839259,SINGLE FAMILY / DUPLEX
47.56964958,-122.2869155,SINGLE FAMILY / DUPLEX
47.63942247,-122.3288924,MULTIFAMILY
47.65568549,-122.279646,SINGLE FAMILY / DUPLEX
47.68620998,-122.3332489,SINGLE FAMILY / DUPLEX
47.63706384,-122.3668445,MULTIFAMILY
47.66711473,-122.2791241,SINGLE FAMILY / DUPLEX
47.6775267,-122.3036481,COMMERCIAL
47.56566778,-122.3705327,MULTIFAMILY
47.667209,-122.3155315,SINGLE FAMILY / DUPLEX
47.6121095,-122.2923486,
47.68757007,-122.3973521,SINGLE FAMILY / DUPLEX
47.55961722,-122.3612868,SINGLE FAMILY / DUPLEX
47.65356637,-122.3932016,SINGLE FAMILY / DUPLEX
47.69475383,-122.285585,SINGLE FAMILY / DUPLEX
47.65393594,-122.2812005,SINGLE FAMILY / DUPLEX
47.68793763,-122.3772396,COMMERCIAL
47.53233279,-122.2798364,SINGLE FAMILY / DUPLEX
47.70692275,-122.3151147,SINGLE FAMILY / DUPLEX
47.57891699,-122.3295645,COMMERCIAL
47.54884929,-122.3053769,SINGLE FAMILY / DUPLEX
47.67555785,-122.2693333,MULTIFAMILY
47.68006694,-122.3031139,SINGLE FAMILY / DUPLEX
47.54957102,-122.3188568,COMMERCIAL
47.69224289,-122.3701332,SINGLE FAMILY / DUPLEX
47.56301779,-122.3865182,
47.63956705,-122.3289371,MULTIFAMILY
47.58641724,-122.3789875,SINGLE FAMILY / DUPLEX
47.63454715,-122.3687299,SINGLE FAMILY / DUPLEX
47.57623861,-122.2869124,SINGLE FAMILY / DUPLEX
47.66236976,-122.3134515,COMMERCIAL
47.56852863,-122.340463,INDUSTRIAL
47.55326158,-122.362699,COMMERCIAL
47.568644,-122.3597891,SINGLE FAMILY / DUPLEX
47.52428762,-122.3477306,SINGLE FAMILY / DUPLEX
47.6173679,-122.3140071,MULTIFAMILY
47.68433496,-122.3846083,SINGLE FAMILY / DUPLEX
47.55406813,-122.3845112,SINGLE FAMILY / DUPLEX
47.72715586,-122.3599776,SINGLE FAMILY / DUPLEX
47.68495854,-122.3452305,SINGLE FAMILY / DUPLEX
47.67600604,-122.3175635,COMMERCIAL
47.70175051,-122.3790995,SINGLE FAMILY / DUPLEX
47.56462987,-122.3138568,SINGLE FAMILY / DUPLEX
47.61170093,-122.28285,SINGLE FAMILY / DUPLEX
47.62668129,-122.3221152,MULTIFAMILY
47.67896911,-122.3190256,SINGLE FAMILY / DUPLEX
47.60943195,-122.3393782,COMMERCIAL
47.60758393,-122.2945531,SINGLE FAMILY / DUPLEX
47.69826572,-122.3956618,SINGLE FAMILY / DUPLEX
47.6309693,-122.3089317,SINGLE FAMILY / DUPLEX
47.6076406,-122.3400657,SINGLE FAMILY / DUPLEX
47.57202835,-122.4020361,SINGLE FAMILY / DUPLEX
47.54478669,-122.2838453,SINGLE FAMILY / DUPLEX
47.62906083,-122.3426014,COMMERCIAL
47.57010618,-122.395804,SINGLE FAMILY / DUPLEX
47.62402492,-122.3375668,COMMERCIAL
47.52254474,-122.3662842,COMMERCIAL
47.67057826,-122.2648327,SINGLE FAMILY / DUPLEX
47.6626556,-122.3368221,SINGLE FAMILY / DUPLEX
47.69500093,-122.2978713,SINGLE FAMILY / DUPLEX
47.72811792,-122.2890308,SINGLE FAMILY / DUPLEX
47.64152193,-122.3188268,SINGLE FAMILY / DUPLEX
47.66813504,-122.4030327,SINGLE FAMILY / DUPLEX
47.65119446,-122.3857588,SINGLE FAMILY / DUPLEX
47.59871334,-122.3299101,INDUSTRIAL
47.61586972,-122.3393811,COMMERCIAL
47.58190947,-122.3873223,MULTIFAMILY
47.56169355,-122.3985849,SINGLE FAMILY / DUPLEX
47.59139408,-122.2927064,SINGLE FAMILY / DUPLEX
47.63937266,-122.3292381,MULTIFAMILY
47.65881847,-122.3462806,SINGLE FAMILY / DUPLEX
47.69230287,-122.3328553,SINGLE FAMILY / DUPLEX
47.7133118,-122.2806308,SINGLE FAMILY / DUPLEX
47.64896472,-122.3564681,COMMERCIAL
47.71810655,-122.3691656,SINGLE FAMILY / DUPLEX
47.57474786,-122.3116539,SINGLE FAMILY / DUPLEX
47.60888433,-122.2973154,SINGLE FAMILY / DUPLEX
47.68309009,-122.3529339,SINGLE FAMILY / DUPLEX
47.5243943,-122.2796303,MULTIFAMILY
47.55198925,-122.3976281,SINGLE FAMILY / DUPLEX
